gift_id,occasion,gift_name,category,price_usd,giver_age,receiver_age,relationship,purchase_channel,country,date,message
GFT100000,Graduation,Laptop,Electronics,626.23,59,56,Partner,Online,India,2021-10-10,Happy Graduation! Hope you like it.
GFT100001,Birthday,Perfume,Personal Care,65.56,32,31,Relative,In-store,India,2021-12-26,Wishing you a wonderful Birthday.
GFT100002,Graduation,Certificate Frame,Home Appliances,682.13,35,18,Relative,Online,Germany,2025-03-18,Congrats on your Graduation!
GFT100003,Birthday,Teddy Bear,Toys,45.63,50,75,Friend,In-store,India,2024-01-09,With love on your Birthday.
GFT100004,Housewarming,Doormat,Home Decor,197.97,46,17,Friend,Handmade,Germany,2021-06-13,Wishing you a wonderful Housewarming.
GFT100005,Birthday,Perfume,Personal Care,150.21,43,20,Family,Online,India,2024-08-06,A small gift for your Birthday.
GFT100006,Anniversary,Jewelry,Accessories,26.75,44,69,Relative,Online,UK,2025-03-31,Happy Anniversary! Hope you like it.
GFT100007,Birthday,Book,Books,19.13,28,53,Colleague,Handmade,India,2018-01-09,Congrats on your Birthday!
GFT100008,Anniversary,Perfume,Personal Care,46.35,26,1,Self,Online,Germany,2022-07-12,Happy Anniversary! Hope you like it.
GFT100009,Eid,Traditional Clothes,Clothing,214.33,28,30,Partner,Online,India,2018-10-09,Wishing you a wonderful Eid.
GFT100010,Valentine's Day,Chocolates,Food,103.29,31,33,Colleague,Online,UAE,2018-07-28,Happy Valentine's Day! Hope you like it.
GFT100011,Graduation,Pen Set,Stationery,48.44,70,42,Partner,Online,India,2019-02-26,With love on your Graduation.
GFT100012,Mother's Day,Handbag,Bags,131.48,27,49,Colleague,Online,Australia,2020-07-21,Wishing you a wonderful Mother's Day.
GFT100013,Birthday,Cake,Food,30.55,47,24,Colleague,In-store,India,2018-07-01,Congrats on your Birthday!
GFT100014,Birthday,Headphones,Electronics,461.06,26,35,Self,Online,USA,2018-01-02,With love on your Birthday.
GFT100015,Anniversary,Wine,Food & Beverage,111.62,30,30,Self,In-store,India,2022-08-25,A small gift for your Anniversary.
GFT100016,Birthday,Sunglasses,Accessories,90.56,63,90,Colleague,In-store,Canada,2023-08-30,Congrats on your Birthday!
GFT100017,Mother's Day,Chocolates,Food,30.33,19,15,Colleague,Online,USA,2018-09-13,Wishing you a wonderful Mother's Day.
GFT100018,Mother's Day,Handbag,Bags,121.29,58,79,Colleague,In-store,Germany,2019-06-07,A small gift for your Mother's Day.
GFT100019,Wedding,Cash Gift,Cash,98.37,56,30,Acquaintance,Handmade,India,2018-05-08,Wishing you a wonderful Wedding.
GFT100020,Birthday,Watch,Accessories,43.52,60,42,Friend,Online,Australia,2020-09-21,Happy Birthday! Hope you like it.
GFT100021,Baby Shower,Toy Set,Baby,8.32,56,43,Self,In-store,USA,2023-06-04,Congrats on your Baby Shower!
GFT100022,Christmas,Hot Cocoa Set,Food & Beverage,142.76,27,2,Family,In-store,USA,2020-09-11,Congrats on your Christmas!
GFT100023,Graduation,Watch,Accessories,226.49,26,8,Family,In-store,India,2024-08-11,A small gift for your Graduation.
GFT100024,Graduation,Laptop,Electronics,1513.73,45,22,Acquaintance,Online,USA,2024-06-21,Happy Graduation! Hope you like it.
GFT100025,Birthday,Gift Card,Gift Cards,212.85,25,10,Family,Online,India,2022-08-01,Congrats on your Birthday!
GFT100026,Baby Shower,Baby Blanket,Baby,155.12,67,73,Partner,Online,USA,2021-05-30,Congrats on your Baby Shower!
GFT100027,Eid,Gift Hamper,Food & Beverage,91.45,52,49,Relative,In-store,UAE,2023-04-10,With love on your Eid.
GFT100028,Christmas,Gift Basket,Food & Beverage,212.01,54,72,Colleague,In-store,Canada,2020-04-13,With love on your Christmas.
GFT100029,Wedding,Cutlery Set,Home Appliances,383.01,45,45,Family,Online,India,2020-02-20,A small gift for your Wedding.
GFT100030,Christmas,Christmas Ornament,Home Decor,88.51,59,44,Self,Online,Germany,2022-08-10,Happy Christmas! Hope you like it.
GFT100031,Anniversary,Wine,Food & Beverage,28.47,65,51,Partner,In-store,India,2018-11-25,With love on your Anniversary.
GFT100032,Father's Day,Gadget,Electronics,264.95,18,6,Partner,Online,India,2023-12-16,Congrats on your Father's Day!
GFT100033,Wedding,Kitchen Set,Home Appliances,594.05,59,45,Colleague,In-store,India,2022-04-25,Congrats on your Wedding!
GFT100034,Birthday,Sunglasses,Accessories,74.46,31,44,Acquaintance,In-store,UK,2019-07-15,Happy Birthday! Hope you like it.
GFT100035,Eid,Sweets Box,Food,18.33,66,43,Colleague,Handmade,India,2020-07-13,Congrats on your Eid!
GFT100036,Diwali,Home Decor,Home Decor,137.53,59,48,Relative,Online,India,2018-06-02,With love on your Diwali.
GFT100037,Diwali,Sweets,Food,30.6,38,14,Relative,Online,UAE,2025-03-26,With love on your Diwali.
GFT100038,Birthday,Gift Card,Gift Cards,71.98,53,23,Partner,In-store,India,2019-06-17,A small gift for your Birthday.
GFT100039,Anniversary,Jewelry,Accessories,193.45,70,82,Self,Online,UK,2018-05-08,Happy Anniversary! Hope you like it.
GFT100040,Diwali,Clothes,Home Appliances,678.59,64,69,Relative,In-store,USA,2020-07-24,Congrats on your Diwali!
GFT100041,Valentine's Day,Plush Toy,Toys,29.59,57,87,Acquaintance,Online,UAE,2018-07-30,With love on your Valentine's Day.
GFT100042,Graduation,Pen Set,Stationery,33.56,26,13,Relative,In-store,UAE,2021-12-08,Happy Graduation! Hope you like it.
GFT100043,Birthday,Teddy Bear,Toys,52.22,42,43,Self,Online,India,2023-09-30,Happy Birthday! Hope you like it.
GFT100044,Valentine's Day,Roses,Flowers,62.19,57,78,Partner,Online,Germany,2018-06-23,Congrats on your Valentine's Day!
GFT100045,Birthday,Perfume,Personal Care,76.02,36,55,Family,Online,UK,2023-12-14,A small gift for your Birthday.
GFT100046,Birthday,Book,Books,15.95,70,80,Partner,Online,India,2022-12-17,With love on your Birthday.
GFT100047,Mother's Day,Chocolates,Food,6.33,47,26,Friend,Online,Australia,2021-11-07,Happy Mother's Day! Hope you like it.
GFT100048,Christmas,Christmas Ornament,Home Decor,191.53,70,49,Partner,Online,UK,2021-12-03,With love on your Christmas.
GFT100049,Diwali,Clothes,Electronics,804.62,29,7,Family,Online,Germany,2019-02-19,A small gift for your Diwali.
GFT100050,Housewarming,Serving Tray,Home Appliances,717.8,66,86,Colleague,Handmade,India,2025-08-10,A small gift for your Housewarming.
GFT100051,Diwali,Clothes,Electronics,142.85,42,17,Family,In-store,Germany,2018-04-20,Congrats on your Diwali!
GFT100052,Birthday,Headphones,Electronics,964.4,50,80,Relative,In-store,USA,2021-03-26,Wishing you a wonderful Birthday.
GFT100053,Anniversary,Flowers,Flowers,22.22,47,67,Self,Online,India,2023-04-10,Happy Anniversary! Hope you like it.
GFT100054,Graduation,Pen Set,Stationery,46.06,44,16,Partner,Online,Australia,2018-06-21,With love on your Graduation.
